{82, 0.41124089959422383}
{6, 0.12560193559089528}
{81, 0.4805192756444352}
{68, 0.6878535135471453}
{19, 0.3874445989001065}
{3, 0.23660580252211694}
{68, 0.8310049892592803}
{22, 0.8546685545362467}
{26, 0.37173235684494466}
{36, 0.3121303739374224}
{20, 0.109810967049083}
{65, 0.755345743545383}
{54, 0.23786311196960486}
{70, 0.03719146990834221}
{32, 0.8892358402462266}
{59, 0.9968588723022522}
{32, 0.7618514851219786}
{64, 0.02173121299517322}
{61, 0.26008423309946793}
{44, 0.5880347162571784}
